Product category,Product name,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb
A,A 20470 WHIT S7 SAUS 600 WLOS WZJG,,,518,,1037,,518,,1037,1161,,,518,,518,518,,518,,518,518,,,
A,A 20470 BLAC 06 SAUS 600 WLOS WZJG,,"1,059","1,068",3650,1555,3297,518,4925,6781,6843,,,2157,2592,2675,2354,2053,2312,2592,2675,2592,1597,518,1286
A,A 20470 GREY 93 CART 300 WLOS WZJG,,,,,1006,,,,,,,,259,259,259,259,,259,259,259,259,,,259
A,A 5754.6 GREY S1 270KG DRUM ST,"8,368",,,5176,,,,19878,,,,,,,,4080,,,,8160,8160,1020,3060,4080
A,A 20470 BRAU 73 270KG DRUM ZJG,"1,043","1,067",,,,,,,,,,,,1083,,,1083,,,1083,,,,
C,C 70 CN WHIT G13 DRUM 270KG,"10,072","4,284","5,421",8457,3410,5222,7498,5548,,10971,,7717,6582,5485,7679,7679,6582,8776,5485,6582,7679,5485,5485,4388
A,A 20258.4 TRAN S1 195KG DRUM ST,,,"33,454",22560,9111,18152,22450,30195,11177,33684,7505,8990,38454,24882,23374,16588,26390,15834,16588,13572,8294,18850,21112,18096
A,A 20700 GREY S7 200KG DRUM ST,,"1,480","2,264",735,1460,775,2982,3932,5460,,2972,,2238,2238,2238,2238,2238,2238,1492,2238,2984,2238,2238,2238
A,A 5754.6 BRON 18 270KG DRUM ST,,,,,,,,8128,,,,,,,,,,,,,,1027,,
A,A 13800 GREY S3 200KG DRUM ST,,,,880,,,2350,,,,,,,765,765,,765,,765,765,,,,
A,A 11040 BLAC S1 200KG DRUM ST,,"14,400","28,800",,22400,,,,28800,,,,,21600,7200,6400,8000,9600,12800,14400,15200,15200,16800,14400
A,A 11040 WHIT S1 200KG DRUM ST,,"14,400",,,22400,15200,800,28800,57600,,,,29000,,7000,8000,8800,12800,15200,18400,17600,19200,20800,17600
A,A 11040 ALUM 04 200KG DRUM ST,,,"14,400",,14400,,,,14400,,,,14400,,4000,4000,4000,6400,7200,8000,8800,8800,10400,8000
A,A 13800 BLAC S1 200KG DRUM ST,"27,400",200,,7200,,3600,10600,6400,,,,2800,28800,32000,,12200,16600,17000,16400,17000,16200,6000,1200,800
A,A 13800 WHIT S1 200KG DRUM ST,"13,600",200,,9000,4200,13000,10400,27400,,,800,4800,50400,28400,18200,16600,16600,17000,16400,17000,16400,5200,,
A,A 13800 ALUM 03 200KG DRUM ST,,,,,,,,,,,,,,,,7600,16600,17000,16400,17000,16400,9000,,
A,A 14030 WHIT S1F 200KG DRUM ST,"28,000",,,,21600,6400,21205,119200,,,1600,,47000,55000,,,,,,,,,,
A,A 20242.3 GREY 96 200KG DRUM ST,"17,095",,"7,476",19809,26374,3129,,22055,28852,23556,,6038,41239,19092,20619,12219,11455,17565,11455,16037,17565,16801,17565,14510
A,A 16100 TRAN S1 210KG DRUM ST,,"2,613",,2967,13562,5086,18400,1537,3898,11253,3105,3056,5250,5250,,10500,3000,2250,1500,1500,3000,1500,5250,4500
A,A 11500 BLAC S1 CN 200KG DRUM ST,,,,,,,,,,,,,,5180,,,,,,,,,,
A,A 11500 WHIT S1 CN 200KG DRUM ST,,,,,,,,,,,,,,736,,736,,,,736,,,736,
A,A 14030 BLAC S1F 200KG DRUM ST,"1,800",,,,,,2400,15200,,,,,6400,4800,800,,,,,,,,,1600
A,A 9890 TRAN S1 210KG DRUM ST,,,,98917,,,98742,,74408,49188,824,24622,95900,5600,156100,,,,,127400,,,15400,34300
A,A 20242.3 BROW 77 200KG DRUM ST,"3,490",,"2,300",,2475,2348,,3158,5970,3161,,2400,1520,2280,3040,2280,1520,760,2280,760,1520,2280,1520,1520
A,A 20242.3 WHIT S1 200KG DRUM ST,"6,424",,"8,305",11626,3921,17638,,8400,7565,,,9860,9164,7637,7637,5346,4582,6873,4582,6873,6873,6109,7637,5346
A,A 20242.3 BLAC S1 200KG DRUM ST,"5,635",,"4,576",12129,6180,15051,892,10620,2990,8023,,,16635,7562,8318,5293,5293,6805,5293,6049,6805,6805,7562,6049
A,A 11500 TRAN S1 200KG DRUM ST,,,,,,,,,,,,,2900,1450,1450,725,1450,1450,1450,725,1450,1450,725,1450
A,A 20242.3 ALUM S1 200KG DRUM ST,"3,863",,,,,,,,,,,4283,2280,,760,,760,,760,,760,,760,
A,A 5754.6 GREY S1 SAUS 600 WLCS WZJG,,,,1028,,,,,,,,,504,,,,,,,,504,,,
A,A 5754.6 BLAC 06 SAUS 600 WLCS WZJG,"1,068",514,"2,893",9899,685,504,10221,2520,9132,3740,2318,,504,1230,2006,2651,2288,3659,4566,2520,2712,3427,4213,3830
A,A 20700 YELLOW 09 200KG DRUM ST,,"1,476","1,485",2220,2220,794,2510,742,2965,710,3081,753,1500,1500,2250,1500,1500,1500,1500,1500,2250,1500,2250,1500
A,A 20700 YELLOW 09 CART 300 WLGM WZJG,,"1,469","1,469",2174,1998,,3143,727,1322,2269,1351,2284,1439,1557,1557,1557,1550,1557,1770,1557,1946,1939,1777,1770
A,A 13800 TRAN S1 CART280 WLGPTR INDIA ZJG,,,,,,,,,,,,,3548,14465,2668,2791,2771,2688,2805,2688,2881,2805,2145,1767
A,A 13800 WHIT S1 CART280 WLGPWH INDIA ZJG,,,,,,,,,,,,,1897,7257,1413,1482,1475,1433,1482,1420,1544,1496,1219,1198
A,A 13800 BLAC S1 CART280 WLGPBL INDIA ZJG,,,,,,,,,,,,,2327,9743,1752,1828,1821,1759,1842,1773,1877,1835,1309,1046
A,A 9890 TRAN S1 CART 300 WL121 WZJG,"4,012","16,323","34,299",18065,25237,32260,30317,22337,26290,54337,40417,10479,30391,26371,30220,22248,23805,30509,22270,27098,32223,19571,13853,23012
A,A 9890 BLACK S1 CART 300 WL121 WZJG,,"3,317","4,366",5878,4276,3347,3564,5257,7608,6327,7503,,5953,4388,5039,3722,3931,5114,3751,4493,5399,3295,2336,3871
